;Coal;Coke;Crude_Non_transport;Transport_fuels;Biomass;Natural_gas;Electricity;Renewable;Iron_Steel;Chem_Petrochem;Aluminium;Cement;Construction;Textile;Resid_industries;Agriculture;Air_transport;Water_transport;Road;Rail;Housing;Other_services;C;G;I;X
Coal;0.257718685672770000;0.823672117671937000;0.257718685672770000;0.257718685672770000;0.985616162007792000;0.725941229462642000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.823672117671937000;0.823672117671937000;0.725941229462642000;0.725941229462642000;0.238528451109222000;0.238528451109222000;0.239016769324439000;0.614923595158763000;0.266534257347803000;0.013904159427629300;0.000000000000000000;0.000000000000000000;0.430677328334770000
Coke;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;0.082906669225044600;0.000000000000000000;0.000000000000000000;0.000000000000000000
Crude_Non_transport;0.723003091835809000;1.000000000000000000;0.723003091835809000;0.723003091835809000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;0.669166875473458000;0.669166875473458000;0.670536801672173000;1.000000000000000000;0.747734265521218000;0.039006679819553800;0.000000000000000000;0.000000000000000000;1.000000000000000000
Transport_fuels;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;0.841679360714763000;0.000000000000000000;0.000000000000000000;1.000000000000000000
Biomass;0.269550660637233000;0.216151795410563000;0.269550660637233000;0.269550660637233000;0.284251016347477000;0.305044449481951000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.216151795410563000;0.216151795410563000;0.305044449481951000;0.305044449481951000;0.265056110690002000;0.265056110690002000;0.268036446939287000;0.279193899107805000;0.264798421857170000;0.203390556109473000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Natural_gas;0.125900140867252000;0.069608292447812700;0.125900140867252000;0.125900140867252000;0.106625936497762000;0.101348630617718000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.069608292447812700;0.069608292447812700;0.101348630617718000;0.101348630617718000;0.084894741389801500;0.084894741389801500;0.080203367279968600;0.101024537070022000;0.005561920427220440;0.074118625892319700;0.000000000000000000;0.048654745550840500;0.024355664403422200
Electricity;0.122669367043078000;0.098368165247879900;0.122669367043078000;0.122669367043078000;0.129359327757774000;0.138822177061235000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.098368165247879900;0.098368165247879900;0.138822177061235000;0.138822177061235000;0.120623949696049000;0.120623949696049000;0.121980266020450000;0.127057892586417000;0.120506678508722000;0.092560673832168800;0.000000000000000000;0.000000000000000000;0.000000000000000000
Renewable;0.537290404079759000;0.430851422230441000;0.537290404079759000;0.537290404079759000;0.566592354373633000;0.608039524507127000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.430851422230441000;0.430851422230441000;0.608039524507127000;0.608039524507127000;0.528331499836691000;0.528331499836691000;0.534272149597618000;0.556512095031071000;0.527817853397124000;0.405414677225134000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Iron_Steel;0.549080550333244000;0.440305902048146000;0.549080550333244000;0.549080550333244000;0.579025494205365000;0.621382169131716000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.440305902048146000;0.440305902048146000;0.621382169131716000;0.621382169131716000;0.539925054469528000;0.539925054469528000;0.545996064141948000;0.568724036548038000;0.539400136720071000;0.414310980418898000;0.000000000000000000;0.000000000000000000;0.414310980418898000
Chem_Petrochem;0.435152452530503000;0.348947332087472000;0.435152452530503000;0.435152452530503000;0.458884154115877000;0.492452290820142000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.348947332087472000;0.348947332087472000;0.492452290820142000;0.492452290820142000;0.427896620072386000;0.427896620072386000;0.432707962864780000;0.450720134171073000;0.427480616908707000;0.328346067130190000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Aluminium;0.338117421591875000;0.271135257334920000;0.338117421591875000;0.338117421591875000;0.356557170014233000;0.382639918173153000;0.356557170014233000;0.356557170014233000;0.356557170014233000;0.356557170014233000;0.356557170014233000;0.356557170014233000;0.356557170014233000;0.271135257334920000;0.271135257334920000;0.382639918173153000;0.382639918173153000;0.332479573642324000;0.332479573642324000;0.336218030842551000;0.350213652110313000;0.332156335392697000;0.255127886703362000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Cement;0.530106531622264000;0.425090698342704000;0.530106531622264000;0.530106531622264000;0.559016698493116000;0.599909696838500000;0.559016698493116000;0.559016698493116000;0.559016698493116000;0.559016698493116000;0.559016698493116000;0.559016698493116000;0.559016698493116000;0.425090698342704000;0.425090698342704000;0.599909696838500000;0.599909696838500000;0.521267412927109000;0.521267412927109000;0.527128632886437000;0.549071217841753000;0.520760634227003000;0.399994056809308000;0.000000000000000000;0.000000000000000000;0.399994056809308000
Construction;0.367802810279457000;0.294939873680924000;0.367802810279457000;0.367802810279457000;0.387861496574468000;0.416234208123895000;0.387861496574468000;0.387861496574468000;0.387861496574468000;0.387861496574468000;0.387861496574468000;0.387861496574468000;0.387861496574468000;0.294939873680924000;0.294939873680924000;0.416234208123895000;0.416234208123895000;0.361669981305397000;0.361669981305397000;0.365736660442719000;0.380961042580897000;0.361318364000252000;0.277527118444140000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Textile;0.084006028231913100;0.058398394911862800;0.084006028231913100;0.084006028231913100;0.092628116650344600;0.079963186632962100;0.092628116650344600;0.092628116650344600;0.092628116650344600;0.092628116650344600;0.092628116650344600;0.092628116650344600;0.092628116650344600;0.058398394911862800;0.058398394911862800;0.079963186632962100;0.079963186632962100;0.061955965153846000;0.061955965153846000;0.086408017056884600;0.059203951664215700;0.068249849139511200;0.000059510458434390;0.000000000000000000;0.000000000000000000;0.000000000000000000
Resid_industries;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Agriculture;0.669917240391850000;0.370387156549695000;0.669917240391850000;0.669917240391850000;0.567358802307401000;0.539278149120599000;0.567358802307401000;0.567358802307401000;0.567358802307401000;0.567358802307401000;0.567358802307401000;0.567358802307401000;0.567358802307401000;0.370387156549695000;0.370387156549695000;0.539278149120599000;0.539278149120599000;0.451726665942347000;0.451726665942347000;0.426763767762441000;0.537553640683950000;0.029595093049270400;0.394386733623855000;0.000000000000000000;0.258892902318150000;0.394386733623855000
Air_transport;0.647227210267820000;0.357842180494517000;0.647227210267820000;0.647227210267820000;0.548142416253567000;0.521012851989836000;0.548142416253567000;0.548142416253567000;0.548142416253567000;0.548142416253567000;0.548142416253567000;0.548142416253567000;0.548142416253567000;0.357842180494517000;0.357842180494517000;0.521012851989836000;0.521012851989836000;0.436426728815689000;0.436426728815689000;0.412309321507691000;0.519346752481958000;0.028592710199086400;0.381028894286553000;0.000000000000000000;0.250124225534939000;0.125207554316141000
Water_transport;0.062942833417111200;0.046886918290700500;0.062942833417111200;0.062942833417111200;0.060416386592088500;0.063990479420620800;0.060416386592088500;0.060416386592088500;0.060416386592088500;0.060416386592088500;0.060416386592088500;0.060416386592088500;0.060416386592088500;0.046886918290700500;0.046886918290700500;0.063990479420620800;0.063990479420620800;0.064988238581325700;0.064988238581325700;0.061308801250982800;0.102935125939912000;0.091725150315916800;0.069006138472164900;0.000000000000000000;0.000000000000000000;0.044877028936836500
Road;0.200813300160871000;0.149588384970434000;0.200813300160871000;0.200813300160871000;0.192752904766027000;0.204155718033466000;0.192752904766027000;0.192752904766027000;0.192752904766027000;0.192752904766027000;0.192752904766027000;0.192752904766027000;0.192752904766027000;0.149588384970434000;0.149588384970434000;0.204155718033466000;0.204155718033466000;0.207338976538833000;0.207338976538833000;0.195600071362054000;0.328405018018291000;0.292640625512162000;0.220157715273529000;0.000000000000000000;0.000000000000000000;0.143176018507155000
Rail;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Housing;0.902670482814229000;0.753860197934624000;0.902670482814229000;0.902670482814229000;0.974850932640163000;0.925321932923027000;0.974850932640163000;0.974850932640163000;0.974850932640163000;0.974850932640163000;0.974850932640163000;0.974850932640163000;0.974850932640163000;0.753860197934624000;0.753860197934624000;0.925321932923027000;0.925321932923027000;0.855351482418167000;0.855351482418167000;0.842936138908637000;0.816481814359553000;0.875562616670428000;0.313943896874871000;0.562886875013191000;0.000000000000000000;0.054933950607473400
Other_services;0.516862796915826000;0.459189346457180000;0.516862796915826000;0.516862796915826000;0.532791819007247000;0.534066355283644000;0.532791819007247000;0.532791819007247000;0.532791819007247000;0.532791819007247000;0.532791819007247000;0.532791819007247000;0.532791819007247000;0.459189346457180000;0.459189346457180000;0.534066355283644000;0.534066355283644000;0.485920400428846000;0.485920400428846000;0.454768296958421000;0.454541651341016000;0.561183851730567000;0.244726846884548000;0.000000000000000000;0.000000000000000000;0.032295074477799800
