;Coal;Coke;Crude_Non_transport;Transport_fuels;Biomass;Natural_gas;Electricity;Renewable;Iron_Steel;Chem_Petrochem;Aluminium;Cement;Construction;Textile;Resid_industries;Agriculture;Air_transport;Water_transport;Road;Rail;Housing;Other_services;C;G;I;X;Tot_uses;Y;M
Coal;37.643132452008;64.383310896230;44.754288462995;46.692429248609;50.000000000000;22.416449663013;47.737298859960;50.000000000000;192.293799567832;46.765634366633;43.157433501357;42.208933036717;45.047041352810;41.204803608727;44.650627535733;50.000000000000;50.000000000000;50.000000000000;50.000000000000;46.396878455599;50.000000000000;45.119162366045;50.000000000000;50.000000000000;50.000000000000;148.245973508793;67.318739184340;26.462547049403;126.089110782479
Coke;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;262.698894647588;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;100.000000000000;74.385933775752;254.804439512520;165.543119512334;257.909780928051
Crude_Non_transport;499.162251876137;500.000000000000;532.888785536942;518.584221247883;467.485760865397;513.488136187050;701.451755658933;500.000000000000;311.589340834530;476.519294012936;529.790497617267;68.650315639459;480.251140302806;471.752147849134;629.027713464373;461.333025262201;500.000000000000;500.000000000000;500.000000000000;72.632091160966;500.000000000000;660.322154181156;216.175313165348;500.000000000000;500.000000000000;500.000000000000;502.423223157423;569.714932495952;402.200016187853
Transport_fuels;448.050231595883;400.000000000000;417.084233165717;400.000000000000;400.000000000000;431.931012348587;426.182003187001;400.000000000000;400.000000000000;400.000000000000;400.000000000000;400.000000000000;422.926137982383;426.003321569226;425.137839250540;400.000000000000;669.599265114670;721.919146203582;466.459240687913;467.004169074284;400.000000000000;434.339488516499;676.671453889757;400.000000000000;400.000000000000;501.066882476597;512.217630523620;497.182816173950;425.502280500639
Biomass;50.000000000000;48.748925083134;49.607414030349;51.755725526365;50.000000000000;51.373269134369;51.162772453153;50.000000000000;49.646975647337;49.927836141591;50.000000000000;50.000000000000;50.302242000149;50.668237902419;50.565298648654;50.000000000000;50.000000000000;50.000000000000;50.000000000000;50.000000000000;50.000000000000;51.659729913615;147.492416529912;50.000000000000;50.000000000000;50.000000000000;101.009957214130;136.508436932322;50.000000000000
Natural_gas;95.933350784884;87.757680494234;89.303129929458;93.170514359944;93.012718592567;92.482017417816;91.780914818644;90.000000000000;90.000000000000;89.879952930451;90.000000000000;90.000000000000;90.553957324487;91.212822138405;91.027511177665;91.788547263423;90.000000000000;90.000000000000;93.158581706257;93.267411698629;90.000000000000;92.997703322609;93.333333333333;90.000000000000;90.000000000000;90.000000000000;91.146369927964;228.551450677475;274.625341864068
Electricity;735.571550753967;672.884378618893;684.734153784454;714.387428058936;187.806757305457;709.108359213044;500.000000000000;500.000000000000;684.889791052355;689.156959679167;665.012697335264;655.435023171103;694.324906522258;699.376770227064;693.532609323851;185.334970100527;931.113292133837;933.715126408303;933.118561037237;695.071062655834;500.000000000000;931.507130258644;429.456406828951;500.000000000000;500.000000000000;500.000000000000;543.546463289430;676.597156137969;500.000000000000
Renewable;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;387.512299956063;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;300.000000000000;387.512299956063;475.176736320201;300.000000000000
Iron_Steel;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;782.748932653828;1000.000000000000
Chem_Petrochem;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;840.550460534038;1000.000000000000
Aluminium;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;878.161066344815;1000.000000000000
Cement;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;706.744665549772;1000.000000000000
Construction;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;998.233956539132;1000.000000000000
Textile;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;724.550168390033;1000.000000000000
Resid_industries;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;792.850056690976;1000.000000000000
Agriculture;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;816.142578054373;1000.000000000000
Air_transport;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1112.375573595260;1000.000000000000
Water_transport;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;5524.226356911430;1000.000000000000
Road;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;2123.712917307690;1000.000000000000
Rail;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;4278.038989811820;1000.000000000000
Housing;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000
Other_services;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1000.000000000000;1201.997304576420;1000.000000000000
LakhRs/Ktoe;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000000000000
